#separator:tab
#html:true
¿Qué es IT?        IT significa Information Technology, y se refiere a los sistemas, software y redes usados para <strong>gestionar, procesar y almacenar información digital</strong> en una organización.
¿Que es La Industria 4.0?        Es la transformación digital de la producción mediante la integración de tecnologías avanzadas como la IA, Internet de las cosas(IoT), robotica y análisis de datos.
¿Qué es OT?        Significa Operational Technology, y se refiere a los <strong>sistemas físicos y de control industrial</strong> que supervisan o controlan procesos operativos, maquinaria y equipos.
¿Cuáles son las prioridades principales en IT y OT?        <ul><li><strong>IT:</strong> Confidencialidad → Integridad → Disponibilidad<br></li><li><strong>OT:</strong> Disponibilidad → Integridad → Confidencialidad</li></ul><div>En OT, la continuidad del proceso físico es más crítica que la confidencialidad de los datos.<br></div>
¿Qué tipo de sistemas caracterizan a IT y OT?        <ul><li><strong>IT:</strong> Sistemas basados en software y datos (ERP, CRM, bases de datos, servidores).<br></li><li><strong>OT:</strong> Sistemas de control físico y automatización (PLCs, SCADA, sensores, actuadores).<br></li></ul>
¿Cual es el objetivo de La Industria 4.0?        Crear fabricas inteligentes y sistemas de producción que sean más eficientes, flexibles y autónomos, permitiendo la toma de decisiones en tiempo real, la personalización de productos y una colaboración fluida entre humanos y máquinas
<div>¿En qué consiste el concepto de&nbsp;digitalización?</div><br>        Es el proceso de transformar información y procesos de un formato analógico (físico, en papel) a uno digital.
¿Quién suele gestionar IT y quién gestiona OT dentro de una organización?        <ul><li><strong>IT:</strong> Bajo la responsabilidad del <strong>CIO (Chief Information Officer)</strong> o del área de tecnología corporativa.<br></li><li><strong>OT:</strong> Bajo la responsabilidad del <strong>COO (Chief Operations Officer)</strong>, ingeniería o mantenimiento industrial.<br></li></ul>
¿Qué diferencias hay en el perfil del personal de IT y OT?        <ul><li><strong>IT:</strong> Profesionales en informática, redes, desarrollo de software, ciberseguridad y gestión de datos.<br></li><li><strong>OT:</strong> Ingenieros industriales, eléctricos o de automatización, expertos en control de procesos y maquinaria.<br></li></ul>
¿Cómo difiere la gestión del cambio entre IT y OT?        <ul><li><strong>IT:</strong> Cambios frecuentes, con metodologías ágiles y actualizaciones planificadas regularmente.<br></li><li><strong>OT:</strong> Cambios altamente controlados y poco frecuentes, solo tras <strong>análisis de impacto operativo</strong> y en <strong>paradas planificadas</strong>.<br></li></ul>
Dime las tecnologías clave de La Industria 4.0 y su utilidad        <b>- Internet de las cosas:&nbsp;</b>Conexión de dispositivos y máquinas para generar, recopilar y analizar datos en tiempo real<br><b><br></b><b>- Inteligencia Artificial:&nbsp;</b>Se usa para automatizar procesos, detectar anomalías y optimizar la toma de decisiones<b><br></b><b><br>- Robotica y Automatización:&nbsp;</b>Robots más inteligentes y colaborativos que trabajan junto a humanos para realizar tareas complejas y repetitivas<br><b><br>- Big data y Cloud Computing:&nbsp;</b>Manejo de grandes volúmenes de datos y la capacidad de almacenar y procesar información en la nube&nbsp;<br><b><br>- Sistemas Ciberfísicos:&nbsp;</b>&nbsp;Unión de lo digital con lo físico, lo que permite que los sistemas interactúen y se controlen mutuamente
¿Qué impacto tiene la Industria 4.0 en el empleo?        <div>Transforma los perfiles laborales: desaparecen tareas rutinarias, pero surgen nuevos empleos en análisis de datos, automatización y mantenimiento inteligente.</div>
"La protección de datos y redes corporativas es responsabilidad del <strong><span class=""cloze"" data-cloze=""Departamento&#x20;de&#x20;Ciberseguridad"" data-ordinal=""1"">[...]</span></strong>."        "La protección de datos y redes corporativas es responsabilidad del <strong><span class=""cloze"" data-ordinal=""1"">Departamento de Ciberseguridad</span></strong>.<br>
"
"Los servidores, almacenamiento y redes internas son gestionados por el <strong><span class=""cloze"" data-cloze=""Departamento&#x20;de&#x20;Infraestructura&#x20;IT"" data-ordinal=""1"">[...]</span></strong>."        "Los servidores, almacenamiento y redes internas son gestionados por el <strong><span class=""cloze"" data-ordinal=""1"">Departamento de Infraestructura IT</span></strong>.<br>
"
"La gestión de proyectos tecnológicos y cambios en sistemas depende del <strong><span class=""cloze"" data-cloze=""Departamento&#x20;de&#x20;Gesti&#xF3;n&#x20;de&#x20;Proyectos&#x20;IT"" data-ordinal=""1"">[...]</span></strong>."        "La gestión de proyectos tecnológicos y cambios en sistemas depende del <strong><span class=""cloze"" data-ordinal=""1"">Departamento de Gestión de Proyectos IT</span></strong>.<br>
"
